stock_id,date,revenue
1303,2024-06-01,22713683000
1303,2024-07-01,21812622000
1303,2024-08-01,22531108000
1303,2024-09-01,22463979000
1303,2024-10-01,21428221000
1303,2024-11-01,22758378000
1303,2024-12-01,21965473000
1303,2025-01-01,23431902000
1303,2025-02-01,20458289000
1303,2025-03-01,22080604000
1303,2025-04-01,23012738000
1303,2025-05-01,23176793000
1303,2025-06-01,21949304000
1303,2025-07-01,20589873000
1303,2025-08-01,21152898000
1303,2025-09-01,20853020000
1303,2025-10-01,22171572000
1303,2025-11-01,21229355000
1303,2025-12-01,21130715000
1303,2026-01-01,22097720000
1303,2026-02-01,22872625000
1303,2026-03-01,18556362000
1303,2026-04-01,27167406000
1303,2026-05-01,27681309000
1304,2024-02-01,4365601000
1304,2024-03-01,3572913000
1304,2024-04-01,4086049000
1304,2024-05-01,4378948000
1304,2024-06-01,4542986000
1304,2024-07-01,4537323000
1304,2024-08-01,4531832000
1304,2024-09-01,4233703000
1304,2024-10-01,4138650000
