Code,Name,Industry,Ticker
1460,宏遠,紡織纖維,1460.TW
1463,強盛新,紡織纖維,1463.TW
1464,得力,紡織纖維,1464.TW
1465,偉全,紡織纖維,1465.TW
1466,聚隆,紡織纖維,1466.TW
1467,南緯,紡織纖維,1467.TW
1468,昶和,紡織纖維,1468.TW
1470,大統新創,紡織纖維,1470.TW
1471,首利,電子零組件業,1471.TW
1472,三洋實業,建材營造業,1472.TW
1473,台南,紡織纖維,1473.TW
1474,弘裕,紡織纖維,1474.TW
1475,業旺,紡織纖維,1475.TW
1476,儒鴻,紡織纖維,1476.TW
1477,聚陽,紡織纖維,1477.TW
1503,士電,電機機械,1503.TW
1504,東元,電機機械,1504.TW
1506,正道,電機機械,1506.TW
1512,瑞利,汽車工業,1512.TW
1513,中興電,電機機械,1513.TW
1514,亞力,電機機械,1514.TW
1515,力山,電機機械,1515.TW
1516,川飛,其他業,1516.TW
1517,利奇,電機機械,1517.TW
1519,華城,電機機械,1519.TW
1521,大億,汽車工業,1521.TW
1522,堤維西,汽車工業,1522.TW
1524,耿鼎,汽車工業,1524.TW
1525,江申,汽車工業,1525.TW
1526,日馳,電機機械,1526.TW
1527,鑽全,電機機械,1527.TW
1528,恩德,電機機械,1528.TW
1529,樂事綠能,電機機械,1529.TW
1530,亞崴,電機機械,1530.TW
1531,高林股,電機機械,1531.TW
1532,勤美,電機機械,1532.TW
1533,車王電,汽車工業,1533.TW
1535,中宇,電機機械,1535.TW
1536,和大,汽車工業,1536.TW
1537,廣隆,電機機械,1537.TW
1538,正峰,電機機械,1538.TW
1539,巨庭,電機機械,1539.TW
1540,喬福,電機機械,1540.TW
1541,錩泰,電機機械,1541.TW
1558,伸興,電機機械,1558.TW
1560,中砂,電機機械,1560.TW
1563,巧新,汽車工業,1563.TW
1568,倉佑,汽車工業,1568.TW
1582,信錦,電子零組件業,1582.TW
1583,程泰,電機機械,1583.TW
1587,吉茂,汽車工業,1587.TW
1589,永冠-KY,電機機械,1589.TW
1590,亞德客-KY,電機機械,1590.TW
1597,直得,電機機械,1597.TW
1598,岱宇,運動休閒,1598.TW
1603,華電,電器電纜,1603.TW
1604,聲寶,電器電纜,1604.TW
1605,華新,電器電纜,1605.TW
1608,華榮,電器電纜,1608.TW
1609,大亞,電器電纜,1609.TW
1611,中電,電器電纜,1611.TW
1612,宏泰,電器電纜,1612.TW
1614,三洋電,電器電纜,1614.TW
1615,大山,電器電纜,1615.TW
1616,億泰,電器電纜,1616.TW
1617,榮星,電器電纜,1617.TW
1618,合機,電器電纜,1618.TW
1623,大東電,電器電纜,1623.TW
1626,艾美特-KY,電器電纜,1626.TW
1702,南僑,食品工業,1702.TW
1707,葡萄王,生技醫療業,1707.TW
1708,東鹼,化學工業,1708.TW
1709,和益,化學工業,1709.TW
1710,東聯,化學工業,1710.TW
1711,永光,化學工業,1711.TW
1712,興農,化學工業,1712.TW
1713,國化,化學工業,1713.TW
1714,和桐,化學工業,1714.TW
1717,長興,化學工業,1717.TW
1718,中纖,化學工業,1718.TW
1720,生達,生技醫療業,1720.TW
1721,三晃,化學工業,1721.TW
1722,台肥,化學工業,1722.TW
1723,中碳,化學工業,1723.TW
1725,元禎,化學工業,1725.TW
1726,永記,化學工業,1726.TW
1727,中華化,化學工業,1727.TW
1730,花仙子,化學工業,1730.TW
1731,美吾華,生技醫療業,1731.TW
1732,毛寶,化學工業,1732.TW
1733,五鼎,生技醫療業,1733.TW
1734,杏輝,生技醫療業,1734.TW
1735,日勝化,化學工業,1735.TW
1736,喬山,運動休閒,1736.TW
1737,臺鹽,食品工業,1737.TW
1752,南光,生技醫療業,1752.TW
1760,寶齡富錦,生技醫療業,1760.TW
1762,中化生,生技醫療業,1762.TW
1773,勝一,化學工業,1773.TW
1776,展宇,化學工業,1776.TW
1783,和康生,生技醫療業,1783.TW
1786,科妍,生技醫療業,1786.TW
1789,神隆,生技醫療業,1789.TW
1795,美時,生技醫療業,1795.TW
1802,台玻,玻璃陶瓷,1802.TW
1805,寶徠,建材營造業,1805.TW
1806,冠軍,玻璃陶瓷,1806.TW
1808,潤隆,建材營造業,1808.TW
1809,中釉,玻璃陶瓷,1809.TW
1810,和成,玻璃陶瓷,1810.TW
1817,凱撒衛,玻璃陶瓷,1817.TW
1903,士紙,造紙工業,1903.TW
1904,正隆,造紙工業,1904.TW
1905,華紙,造紙工業,1905.TW
1906,寶隆,造紙工業,1906.TW
1907,永豐餘,造紙工業,1907.TW
1909,榮成,造紙工業,1909.TW
2002,中鋼,鋼鐵工業,2002.TW
2006,東和鋼鐵,鋼鐵工業,2006.TW
2007,燁興,鋼鐵工業,2007.TW
2008,高興昌,鋼鐵工業,2008.TW
2009,第一銅,鋼鐵工業,2009.TW
2010,春源,鋼鐵工業,2010.TW
2012,春雨,鋼鐵工業,2012.TW
2013,中鋼構,鋼鐵工業,2013.TW
2014,中鴻,鋼鐵工業,2014.TW
2015,豐興,鋼鐵工業,2015.TW
2017,官田鋼,鋼鐵工業,2017.TW
2020,美亞,鋼鐵工業,2020.TW
2022,聚亨,鋼鐵工業,2022.TW
2023,燁輝,鋼鐵工業,2023.TW
2024,志聯,鋼鐵工業,2024.TW
2025,千興,鋼鐵工業,2025.TW
2027,大成鋼,鋼鐵工業,2027.TW
2028,威致,鋼鐵工業,2028.TW
2029,盛餘,鋼鐵工業,2029.TW
2030,彰源,鋼鐵工業,2030.TW
2031,新光鋼,鋼鐵工業,2031.TW
2032,新鋼,鋼鐵工業,2032.TW
2033,佳大,鋼鐵工業,2033.TW
2034,允強,鋼鐵工業,2034.TW
2038,海光,鋼鐵工業,2038.TW
2049,上銀,電機機械,2049.TW
2059,川湖,電子零組件業,2059.TW
2062,橋椿,居家生活,2062.TW
2069,運錩,鋼鐵工業,2069.TW
2101,南港,橡膠工業,2101.TW
2102,泰豐,橡膠工業,2102.TW
2103,台橡,橡膠工業,2103.TW
2104,國際中橡,橡膠工業,2104.TW
2105,正新,橡膠工業,2105.TW
2106,建大,橡膠工業,2106.TW
2107,厚生,橡膠工業,2107.TW
2108,南帝,橡膠工業,2108.TW
2109,華豐,橡膠工業,2109.TW
2114,鑫永銓,橡膠工業,2114.TW
2115,六暉-KY,汽車工業,2115.TW
2201,裕隆,汽車工業,2201.TW
2204,中華,汽車工業,2204.TW
2206,三陽工業,汽車工業,2206.TW
2207,和泰車,汽車工業,2207.TW
2208,台船,航運業,2208.TW
2211,長榮鋼,鋼鐵工業,2211.TW
2227,裕日車,汽車工業,2227.TW
2228,劍麟,汽車工業,2228.TW
2231,為升,汽車工業,2231.TW
2233,宇隆,汽車工業,2233.TW
2236,百達-KY,汽車工業,2236.TW
2239,英利-KY,汽車工業,2239.TW
2241,艾姆勒,汽車工業,2241.TW
2243,宏旭-KY,汽車工業,2243.TW
2247,汎德永業,汽車工業,2247.TW
2248,華勝-KY,汽車工業,2248.TW
2250,IKKA-KY,汽車工業,2250.TW
2301,光寶科,電腦及週邊設備業,2301.TW
2302,麗正,半導體業,2302.TW
2303,聯電,半導體業,2303.TW
2305,全友,電腦及週邊設備業,2305.TW
2308,台達電,電子零組件業,2308.TW
2312,金寶,其他電子業,2312.TW
2313,華通,電子零組件業,2313.TW
2314,台揚,通信網路業,2314.TW
2316,楠梓電,電子零組件業,2316.TW
2317,鴻海,其他電子業,2317.TW
2321,東訊,通信網路業,2321.TW
2323,中環,光電業,2323.TW
2324,仁寶,電腦及週邊設備業,2324.TW
2327,國巨*,電子零組件業,2327.TW
2328,廣宇,電子零組件業,2328.TW
2329,華泰,半導體業,2329.TW
2330,台積電,半導體業,2330.TW
2331,精英,電腦及週邊設備業,2331.TW
2332,友訊,通信網路業,2332.TW
2337,旺宏,半導體業,2337.TW
2338,光罩,半導體業,2338.TW
2340,台亞,半導體業,2340.TW
2342,茂矽,半導體業,2342.TW
2344,華邦電,半導體業,2344.TW
2345,智邦,通信網路業,2345.TW
2347,聯強,電子通路業,2347.TW
2348,海悅,其他業,2348.TW
2349,錸德,光電業,2349.TW
2351,順德,半導體業,2351.TW
2352,佳世達,電腦及週邊設備業,2352.TW
2353,宏��,電腦及週邊設備業,2353.TW
2354,鴻準,其他電子業,2354.TW
2355,敬鵬,電子零組件業,2355.TW
2356,英業達,電腦及週邊設備業,2356.TW
2357,華碩,電腦及週邊設備業,2357.TW
2359,所羅門,其他電子業,2359.TW
2360,致茂,其他電子業,2360.TW
2362,藍天,電腦及週邊設備業,2362.TW
2363,矽統,半導體業,2363.TW
2364,倫飛,電腦及週邊設備業,2364.TW
2365,昆盈,電腦及週邊設備業,2365.TW
2367,燿華,電子零組件業,2367.TW
2368,金像電,電子零組件業,2368.TW
2369,菱生,半導體業,2369.TW
2371,大同,電機機械,2371.TW
2373,震旦行,其他電子業,2373.TW
2374,佳能,光電業,2374.TW
2375,凱美,電子零組件業,2375.TW
2376,技嘉,電腦及週邊設備業,2376.TW
2377,微星,電腦及週邊設備業,2377.TW
2379,瑞昱,半導體業,2379.TW
2380,虹光,電腦及週邊設備業,2380.TW
2382,廣達,電腦及週邊設備業,2382.TW
2383,台光電,電子零組件業,2383.TW
2385,群光,電子零組件業,2385.TW
2387,精元,電腦及週邊設備業,2387.TW
2388,威盛,半導體業,2388.TW
2390,云辰,其他電子業,2390.TW
2392,正崴,電子零組件業,2392.TW
2393,億光,光電業,2393.TW
2395,研華,電腦及週邊設備業,2395.TW
2397,友通,電腦及週邊設備業,2397.TW
2399,映泰,電腦及週邊設備業,2399.TW
2401,凌陽,半導體業,2401.TW
2402,毅嘉,電子零組件業,2402.TW
2404,漢唐,其他電子業,2404.TW
2405,輔信,電腦及週邊設備業,2405.TW
2406,國碩,光電業,2406.TW
2408,南亞科,半導體業,2408.TW
2409,友達,光電業,2409.TW
2412,中華電,通信網路業,2412.TW
2413,環科,電子零組件業,2413.TW
2414,精技,電子通路業,2414.TW
2415,錩新,電子零組件業,2415.TW
2417,圓剛,電腦及週邊設備業,2417.TW
2419,仲琦,通信網路業,2419.TW
2420,新巨,電子零組件業,2420.TW
2421,建準,電子零組件業,2421.TW
2423,固緯,其他電子業,2423.TW
2424,隴華,通信網路業,2424.TW
2425,承啟,電腦及週邊設備業,2425.TW
2426,鼎元,光電業,2426.TW
2427,三商電,資訊服務業,2427.TW
2428,興勤,電子零組件業,2428.TW
